NAME,AGENDA,PROMINENCE
Dalcy K,Dovetail research,3.0
José Pedro Faustino,Dovetail research,3.0
Evan Miyazono,boundaries / membranes,3.0
Manuel Baltieri,boundaries / membranes,3.0
Dávid Matolcsi,ARC Theory: Formalizing heuristic arguments,3.0
Victor Lecomte,ARC Theory: Formalizing heuristic arguments,3.0
George Robinson,ARC Theory: Formalizing heuristic arguments,3.0
Natalia Pérez-Campanero Antolín,Apart Research,3.0
Andrew Gritsevskiy,Cavendish Labs,3.0
Joseph M. Cavanagh,Cavendish Labs,3.0
Aaron Kirtland,Cavendish Labs,3.0
Derik Kauffman,Cavendish Labs,3.0
Allan Dafoe,Deepmind Alignment Team,3.0
Dave Orr,Deepmind Alignment Team,3.0
Sebastian Farquhar,Deepmind Alignment Team,3.0
Adrià Garriga-Alonso,FAR,3.0
Chris Cundy,FAR,3.0
Mohammad Taufeeque,FAR,3.0
Kellin Pelrine,FAR,3.0
Sharon Li,“Autonomous Vehicles”,3.0
Mia Glaese,OpenAI Alignment Science,3.0
Boaz Barak,OpenAI Alignment Science,3.0
Johannes Heidecke,OpenAI Alignment Science,3.0
Joshua Achiam.,OpenAI AGI Readiness Mission Alignment,3.0
post-training teams at most labs. Beren Millidge.,Iterative alignment,2.5
"David ""davidad"" Dalrymple",Guaranteed safe AI,2.5
Colognese,Indirect deception monitoring,2.5
davidad,boundaries / membranes,2.5
Max Harms/Raelifin,Behavior alignment theory,2.5
David Lorell,Behavior alignment theory,2.5
Jacob Hilton,ARC Theory: Formalizing heuristic arguments,2.5
Monte Macdiarmid,Anthropic Alignment Capabilities / Alignment Science / Assurance / Trust & Safety / RSP Evaluations,2.5
Marius Hobbhanh,Apollo,2.5
Dawn Song (some of these are not full-time at CAIS though).,Center for AI Safety (CAIS),2.5
Melody Guan. Lost its head,OpenAI Alignment Science,2.5
