Paper title,Author(s),Date published,Link to paper
LongCodeBench: Evaluating Coding LLMs at 1M Context Windows,"Stefano Rando, Luca Romani, Alessio Sampieri, Yuta Kyuragi, Luca Franco, Fabio Galasso, Tatsunori Hashimoto, John Yang",May 2025,https://arxiv.org/abs/2505.07897
LLMs Outperform Experts on Challenging Biology Benchmarks,Lennart Justen,May 2025,https://arxiv.org/abs/2505.06108
Understanding In-context Learning of Addition via Activation Subspaces,"Xinyan Hu, Kayo Yin, Michael I. Jordan, Jacob Steinhardt, Lijie Chen",May 2025,https://arxiv.org/abs/2505.05145
An alignment safety case sketch based on debate,"Marie Davidsen Buhl, Jacob Pfau, Benjamin Hilton, Geoffrey Irving",May 2025,https://arxiv.org/abs/2505.03989
Evaluating Frontier Models for Stealth and Situational Awareness,"Mary Phuong, Roland S. Zimmermann, Ziyue Wang, David Lindner, Victoria Krakovna, Sarah Cogan, Allan Dafoe, Lewis Ho, Rohin Shah",May 2025,https://arxiv.org/abs/2505.01420
Transferable Adversarial Attacks on Black-Box Vision-Language Models,"Kai Hu, Weichen Yu, Li Zhang, Alexander Robey, Andy Zou, Chengming Xu, Haoqi Hu, Matt Fredrikson",May 2025,https://arxiv.org/abs/2505.01050
Language Models use Lookbacks to Track Beliefs,"Nikhil Prakash, Natalie Shapira, Arnab Sen Sharma, Christoph Riedl, Yonatan Belinkov, Tamar Rott Shaham, David Bau, Atticus Geiger",May 2025,https://arxiv.org/abs/2505.14685
Harnessing the Universal Geometry of Embeddings,"Rishi Jha, Collin Zhang, Vitaly Shmatikov, John X. Morris",May 2025,https://arxiv.org/abs/2505.12540
SafetyNet: Detecting Harmful Outputs in LLMs by Modeling and Monitoring Deceptive Behaviors,"Maheep Chaudhary, Fazl Barez",May 2025,https://arxiv.org/abs/2505.14300
Beyond Semantics: The Unreasonable Effectiveness of Reasonless Intermediate Tokens,"Kaya Stechly, Karthik Valmeekam, Atharva Gundawar, Vardhan Palod, Subbarao Kambhampati",May 2025,https://arxiv.org/abs/2505.13775
On the creation of narrow AI: hierarchy and nonlocality of neural network skills,"Eric J. Michaud, Asher Parker-Sartori, Max Tegmark",May 2025,https://arxiv.org/abs/2505.15811
Neural Thermodynamic Laws for Large Language Model Training,"Ziming Liu, Yizhou Liu, Jeff Gore, Max Tegmark",May 2025,https://arxiv.org/abs/2505.10559
"Societal and technological progress as sewing an ever-growing, ever-changing, patchy, and polychrome quilt","Joel Z. Leibo, Alexander Sasha Vezhnevets, William A. Cunningham, Sébastien Krier, Manfred Diaz, Simon Osindero",May 2025,https://arxiv.org/abs/2505.05197
Parallel Scaling Law for Language Models,"Mouxiang Chen, Binyuan Hui, Zeyu Cui, Jiaxi Yang, Dayiheng Liu, Jianling Sun, Junyang Lin, Zhongxin Liu",May 2025,https://arxiv.org/abs/2505.10475
When Are Concepts Erased From Diffusion Models?,"Kevin Lu, Nicky Kriplani, Rohit Gandikota, Minh Pham, David Bau, Chinmay Hegde, Niv Cohen",May 2025,https://arxiv.org/abs/2505.17013
Towards eliciting latent knowledge from LLMs with mechanistic interpretability,"Bartosz Cywiński, Emil Ryd, Senthooran Rajamanoharan, Neel Nanda",May 2025,https://arxiv.org/abs/2505.14352
BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity System,"Andy K. Zhang, Joey Ji, Celeste Menders, Riya Dulepet, Thomas Qin, Ron Y. Wang, Junrong Wu, Kyleen Liao, Jiliang Li, Jinghan Hu, Sara Hong, Nardos Demilew, Shivatmica Murgai, Jason Tran, Nishka Kacheria, Ethan Ho, Denis Liu, Lauren McLane, Olivia Bruvik, Dai-Rong Han, Seungwoo Kim, Akhil Vyas, Cuiyuanxiu Chen, Ryan Li, Weiran Xu, Jonathan Z. Ye, Prerit Choudhary, Siddharth M. Bhatia, Vikram Sivashankar, Yuxuan Bao, Dawn Song, Dan Boneh, Daniel E. Ho, Percy Liang",May 2025,https://arxiv.org/abs/2505.15216
When AI Co-Scientists Fail: SPOT-a Benchmark for Automated Verification of Scientific Research,"Guijin Son, Jiwoo Hong, Honglu Fan, Heejeong Nam, Hyunwoo Ko, Seungwon Lim, Jinyeop Song, Jinha Choi, Gonçalo Paulo, Youngjae Yu, Stella Biderman",May 2025,https://arxiv.org/abs/2505.11855
Extracting memorized pieces of (copyrighted) books from open-weight language models,"A. Feder Cooper, Aaron Gokaslan, Amy B. Cyphert, Christopher De Sa, Mark A. Lemley, Daniel E. Ho, Percy Liang",May 2025,https://arxiv.org/abs/2505.12546
Do Language Models Use Their Depth Efficiently?,"Róbert Csordás, Christopher D. Manning, Christopher Potts",May 2025,https://arxiv.org/abs/2505.13898
X-Reasoner: Towards Generalizable Reasoning Across Modalities and Domains,"Qianchu Liu, Sheng Zhang, Guanghui Qin, Timothy Ossowski, Yu Gu, Ying Jin, Sid Kiblawi, Sam Preston, Mu Wei, Paul Vozila, Tristan Naumann, Hoifung Poon",May 2025,https://arxiv.org/abs/2505.03981
Preference Learning with Lie Detectors can Induce Honesty or Evasion,"Chris Cundy, Adam Gleave",May 2025,https://arxiv.org/abs/2505.13787
Will AI Tell Lies to Save Sick Children? Litmus-Testing AI Values Prioritization with AIRiskDilemmas,"Yu Ying Chiu, Zhilin Wang, Sharan Maiya, Yejin Choi, Kyle Fish, Sydney Levine, Evan Hubinger",May 2025,https://arxiv.org/abs/2505.14633
Large Language Models Are More Persuasive Than Incentivized Human Persuaders,"Philipp Schoenegger, Francesco Salvi, Jiacheng Liu, Xiaoli Nan, Ramit Debnath, Barbara Fasolo, Evelina Leivada, Gabriel Recchia, Fritz Günther, Ali Zarifhonarvar, Joe Kwon, Zahoor Ul Islam, Marco Dehnert, Daryl Y. H. Lee, Madeline G. Reinecke, David G. Kamper, Mert Kobaş, Adam Sandford, Jonas Kgomo, Luke Hewitt, Shreya Kapoor, Kerem Oktar, Eyup Engin Kucuk, Bo Feng, Cameron R. Jones, Izzy Gainsburg, Sebastian Olschewski, Nora Heinzelmann, Francisco Cruz, Ben M. Tappin, Tao Ma, Peter S. Park, Rayan Onyonka, Arthur Hjorth, Peter Slattery, Qingcheng Zeng, Lennart Finke, Igor Grossmann, Alessandro Salatiello, Ezra Karger",May 2025,https://arxiv.org/abs/2505.09662
Learning to Reason without External Rewards,"Xuandong Zhao, Zhewei Kang, Aosong Feng, Sergey Levine, Dawn Song",May 2025,https://arxiv.org/abs/2505.19590
AI safety for everyone,"Bálint Gyevnár, Atoosa Kasirzadeh",Apr 2025,https://www.nature.com/articles/s42256-025-01020-y
Towards accurate differential diagnosis with large language models,"Daniel McDuff, Mike Schaekermann, Tao Tu, Anil Palepu, Amy Wang, Jake Garrison, Karan Singhal, Yash Sharma, Shekoofeh Azizi, Kavita Kulkarni, Le Hou, Yong Cheng, Yun Liu, S. Sara Mahdavi, Sushant Prakash, Anupam Pathak, Christopher Semturs, Shwetak Patel, Dale R. Webster, Ewa Dominowska, Juraj Gottweis, Joelle Barral, Katherine Chou, Greg S. Corrado, Yossi Matias, Jake Sunshine, Alan Karthikesalingam, Vivek Natarajan",Apr 2025,https://www.nature.com/articles/s41586-025-08869-4
Towards conversational diagnostic artificial intelligence,"Tao Tu, Mike Schaekermann, Anil Palepu, Khaled Saab, Jan Freyberg, Ryutaro Tanno, Amy Wang, Brenna Li, Mohamed Amin, Yong Cheng, Elahe Vedadi, Nenad Tomasev, Shekoofeh Azizi, Karan Singhal, Le Hou, Albert Webson, Kavita Kulkarni, S. Sara Mahdavi, Christopher Semturs, Juraj Gottweis, Joelle Barral, Katherine Chou, Greg S. Corrado, Yossi Matias, Alan Karthikesalingam, Vivek Natarajan",Apr 2025,https://www.nature.com/articles/s41586-025-08866-7
A narrow path: How to secure our future,"Andrea Miotti, Tolga Bilge, Dave Kasten, James Newport",Apr 2025,https://www.narrowpath.co/
The AI Adoption Gap: Preparing the US Government for Advanced AI,Lizka Vaintrob,Apr 2025,https://www.forethought.org/research/the-ai-adoption-gap
AI-Enabled Coups: How a Small Group Could Use AI to Seize Power,"Tom Davidson, Lukas Finnveden, Rose Hadshar",Apr 2025,https://www.forethought.org/research/ai-enabled-coups-how-a-small-group-could-use-ai-to-seize-power
RepliBench: measuring autonomous replication capabilities in AI systems,"Sid Black, Asa Cooper Stickland, Jake Pencharz, Oliver Sourbut, Michael Schmatz, Jay Bailey, Ollie Matthews, Ben Millwood, Alex Remedios, Alan Cooney",Apr 2025,https://www.aisi.gov.uk/work/replibench-measuring-autonomous-replication-capabilities-in-ai-systems
Redefining the role of governments to navigate the AI economic transformation,Deric Cheng,Apr 2025,https://www.agisocialcontract.org/
America’s Superintelligence Project,"Jeremie Harris, Edouard Harris",Apr 2025,https://superintelligence.gladstone.ai/
An Approach to Technical AGI Safety and Security,"Rohin Shah, Alex Irpan, Alexander Matt Turner, Anna Wang, Arthur Conmy, David Lindner, Jonah Brown-Cohen, Lewis Ho, Neel Nanda, Raluca Ada Popa, Rishub Jain, Rory Greig, Samuel Albanie, Scott Emmons, Sebastian Farquhar, Sébastien Krier, Senthooran Rajamanoharan, Sophie Bridgers, Tobi Ijitoye, Tom Everitt, Victoria Krakovna, Vikrant Varma, Vladimir Mikulik, Zachary Kenton, Dave Orr, Shane Legg, Noah Goodman, Allan Dafoe, Four Flynn, Anca Dragan
",Apr 2025,https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/evaluating-potential-cybersecurity-threats-of-advanced-ai/An_Approach_to_Technical_AGI_Safety_Apr_2025.pdf
Bare Minimum Mitigations for Autonomous AI Development,"Joshua Clymer, Isabella Duan, Chris Cundy, Yawen Duan, Fynn Heide, Chaochao Lu, Sören Mindermann, Conor McGurk, Xudong Pan, Saad Siddiqui, Jingren Wang, Min Yang, Xianyuan Zhan",Apr 2025,https://saif.org/research/bare-minimum-mitigations-for-autonomous-ai-development/
The 2025 AI Index Report,"Nestor Maslej, Loredana Fattorini, Raymond Perrault, Yolanda Gil, Vanessa Parli, Njenga Kariuki, Emily Capstick, Anka Reuel, Erik Brynjolfsson, John Etchemendy, Katrina Ligett, Terah Lyons, James Manyika, Juan Carlos Niebles, Yoav Shoham, Russell Wald, Tobi Walsh, Armin Hamrah, Lapo Santarlasci, Julia Betts Lotufo, Alexandra Rome, Andrew Shi, Sukrut Oak",Apr 2025,https://hai.stanford.edu/ai-index/2025-ai-index-report
Taking a responsible path to AGI,"Anca Dragan, Rohin Shah, Four Flynn, Shane Legg",Apr 2025,https://deepmind.google/discover/blog/taking-a-responsible-path-to-agi/
PaperBench: Evaluating AI’s Ability to Replicate AI Research,"Giulio Starace, Oliver Jaffe, Dane Sherburn, James Aung, Chan Jun Shern, Leon Maksin, Rachel Dias, Evan Mays, Benjamin Kinsella, Wyatt Thompson, Johannes Heidecke. Amelia Glaese, Tejal Patwardhan",Apr 2025,https://cdn.openai.com/papers/22265bac-3191-44e5-b057-7aaacd8e90cd/paperbench.pdf
Base Models Beat Aligned Models at Randomness and Creativity,"Peter West, Christopher Potts",Apr 2025,https://arxiv.org/abs/2505.00047
The Leaderboard Illusion,"Shivalika Singh, Yiyang Nan, Alex Wang, Daniel D'Souza, Sayash Kapoor, Ahmet Üstün, Sanmi Koyejo, Yuntian Deng, Shayne Longpre, Noah Smith, Beyza Ermis, Marzieh Fadaee, Sara Hooker",Apr 2025,https://arxiv.org/abs/2504.20879
Investigating task-specific prompts and sparse autoencoders for activation monitoring,"Henk Tillman, Dan Mossing",Apr 2025,https://arxiv.org/abs/2504.20271
Scaling Laws For Scalable Oversight,"Joshua Engels, David D. Baek, Subhash Kantamneni, Max Tegmark",Apr 2025,https://arxiv.org/abs/2504.18530
Safety Pretraining: Toward the Next Generation of Safe AI,"Pratyush Maini, Sachin Goyal, Dylan Sam, Alex Robey, Yash Savani, Yiding Jiang, Andy Zou, Zacharcy C. Lipton, J. Zico Kolter",Apr 2025,https://arxiv.org/abs/2504.16980
Trends in Frontier AI Model Count: A Forecast to 2028,"Iyngkarran Kumar, Sam Manning",Apr 2025,https://arxiv.org/abs/2504.16138
Trends in AI Supercomputers,"Konstantin F. Pilz, James Sanders, Robi Rahman, Lennart Heim",Apr 2025,https://arxiv.org/abs/2504.16026
Values in the Wild: Discovering and Analyzing Values in Real-World Language Model Interactions,"Saffron Huang, Esin Durmus, Miles McCain, Kunal Handa, Alex Tamkin, Jerry Hong, Michael Stern, Arushi Somani, Xiuruo Zhang, Deep Ganguli",Apr 2025,https://arxiv.org/abs/2504.15236
Existing Industry Practice for the EU AI Act's General-Purpose AI Code of Practice Safety and Security Measures,"Lily Stelling, Mick Yang, Rokas Gipiškis, Leon Staufer, Ze Shen Chin, Siméon Campos, Michael Chen",Apr 2025,https://arxiv.org/abs/2504.15181
The Geometry of Self-Verification in a Task-Specific Reasoning Model,"Andrew Lee, Lihao Sun, Chris Wendler, Fernanda Viégas, Martin Wattenberg",Apr 2025,https://arxiv.org/abs/2504.14379
TALES: Text Adventure Learning Environment Suite,"Christopher Zhang Cui, Xingdi Yuan, Ziang Xiao, Prithviraj Ammanabrolu, Marc-Alexandre Côté",Apr 2025,https://arxiv.org/abs/2504.14128
Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,"Yang Yue, Zhiqi Chen, Rui Lu, Andrew Zhao, Zhaokai Wang, Yang Yue, Shiji Song, Gao Huang",Apr 2025,https://arxiv.org/abs/2504.13837
Scaling sparse feature circuit finding for in-context learning,"Dmitrii Kharlapenko, Stepan Shabalin, Fazl Barez, Arthur Conmy, Neel Nanda",Apr 2025,https://arxiv.org/abs/2504.13756
Cost-of-Pass: An Economic Framework for Evaluating Language Models,"Mehmet Hamza Erol, Batu El, Mirac Suzgun, Mert Yuksekgonul, James Zou",Apr 2025,https://arxiv.org/abs/2504.13359
Sleep-time Compute: Beyond Inference Scaling at Test-time,"Kevin Lin, Charlie Snell, Yu Wang, Charles Packer, Sarah Wooders, Ion Stoica, Joseph E. Gonzalez",Apr 2025,https://arxiv.org/abs/2504.13171
MIB: A Mechanistic Interpretability Benchmark,"Aaron Mueller, Atticus Geiger, Sarah Wiegreffe, Dana Arad, Iván Arcuschin, Adam Belfki, Yik Siu Chan, Jaden Fiotto-Kaufman, Tal Haklay, Michael Hanna, Jing Huang, Rohan Gupta, Yaniv Nikankin, Hadas Orgad, Nikhil Prakash, Anja Reusch, Aruna Sankaranarayanan, Shun Shao, Alessandro Stolfo, Martin Tutek, Amir Zur, David Bau, Yonatan Belinkov",Apr 2025,https://arxiv.org/abs/2504.13151
In Which Areas of Technical AI Safety Could Geopolitical Rivals Cooperate?,"Ben Bucknall, Saad Siddiqui, Lara Thurnherr, Conor McGurk, Ben Harack, Anka Reuel, Patricia Paskov, Casey Mahoney, Sören Mindermann, Scott Singer, Vinay Hiremath, Charbel-Raphaël Segerie, Oscar Delaney, Alessandro Abate, Fazl Barez, Michael K. Cohen, Philip Torr, Ferenc Huszár, Anisoara Calinescu, Gabriel Davis Jones, Yoshua Bengio, Robert Trager",Apr 2025,https://arxiv.org/abs/2504.12914
BrowseComp: A Simple Yet Challenging Benchmark for Browsing Agents,"Jason Wei, Zhiqing Sun, Spencer Papay, Scott McKinney, Jeffrey Han, Isa Fulford, Hyung Won Chung, Alex Tachard Passos, William Fedus, Amelia Glaese",Apr 2025,https://arxiv.org/abs/2504.12516
AI Behind Closed Doors: a Primer on The Governance of Internal Deployment,"Charlotte Stix, Matteo Pistillo, Girish Sastry, Marius Hobbhahn, Alejandro Ortega, Mikita Balesni, Annika Hallensleben, Nix Goldowsky-Dill, Lee Sharkey",Apr 2025,https://arxiv.org/abs/2504.12170
Interpreting the Linear Structure of Vision-language Model Embedding Spaces,"Isabel Papadimitriou, Huangyuan Su, Thomas Fel, Naomi Saphra, Sham Kakade, Stephanie Gil",Apr 2025,https://arxiv.org/abs/2504.11695
Ctrl-Z: Controlling AI Agents via Resampling,"Aryan Bhatt, Cody Rushing, Adam Kaufman, Tyler Tracy, Vasil Georgiev, David Matolcsi, Akbir Khan, Buck Shlegeris",Apr 2025,https://arxiv.org/abs/2504.10374
LoRI: Reducing Cross-Task Interference in Multi-Task Low-Rank Adaptation,"Juzheng Zhang, Jiacheng You, Ashwinee Panda, Tom Goldstein",Apr 2025,https://arxiv.org/abs/2504.07448
DeepSeek-R1 Thoughtology: Let's <think> about LLM Reasoning,"Sara Vera Marjanović, Arkil Patel, Vaibhav Adlakha, Milad Aghajohari, Parishad BehnamGhader, Mehar Bhatia, Aditi Khandelwal, Austin Kraft, Benno Krojer, Xing Han Lù, Nicholas Meade, Dongchan Shin, Amirhossein Kazemnejad, Gaurav Kamath, Marius Mosbach, Karolina Stańczak, Siva Reddy",Apr 2025,https://arxiv.org/abs/2504.07128
How to evaluate control measures for LLM agents? A trajectory from today to superintelligence,"Tomek Korbak, Mikita Balesni, Buck Shlegeris, Geoffrey Irving",Apr 2025,https://arxiv.org/abs/2504.05259
The Dual-Route Model of Induction,"Sheridan Feucht, Eric Todd, Byron Wallace, David Bau",Apr 2025,https://arxiv.org/abs/2504.03022
Robustly identifying concepts introduced during chat fine-tuning using crosscoders,"Julian Minder, Clement Dumas, Caden Juang, Bilal Chugtai, Neel Nanda",Apr 2025,https://arxiv.org/abs/2504.02922
Do Two AI Scientists Agree?,"Xinghong Fu, Ziming Liu, Max Tegmark",Apr 2025,https://arxiv.org/abs/2504.02822
Inference-Time Scaling for Generalist Reward Modeling,"Zijun Liu, Peiyi Wang, Runxin Xu, Shirong Ma, Chong Ruan, Peng Li, Yang Liu, Yu Wu",Apr 2025,https://arxiv.org/abs/2504.02495
Interpreting Emergent Planning in Model-Free Reinforcement Learning,"Thomas Bush, Stephen Chung, Usman Anwar, Adrià Garriga-Alonso, David Krueger",Apr 2025,https://arxiv.org/abs/2504.01871
Virology Capabilities Test,"Jasper Götting, Pedro Medeiros, Jon G Sanders, Nathaniel Li, Long Phan, Karam Elabd, Lennart Justen, Dan Hendrycks, Seth Donoughe",Apr 2025,https://arxiv.org/abs/2503.06378
Modifying LLM Beliefs with Synthetic Document Finetuning,"Rowan Wang, Avery Griffin, Johannes Treutlein, Ethan Perez, Julian Michael, Fabien Roger, Sam Marks",Apr 2025,https://alignment.anthropic.com/2025/modifying-beliefs-via-sdf/
Putting up Bumpers,Samuel R. Bowman,Apr 2025,https://alignment.anthropic.com/2025/bumpers/
AI 2027,"Daniel Kokotajlo, Scott Alexander, Thomas Larsen, Eli Lifland, Romeo Dean",Apr 2025,https://ai-2027.com/
Bridging the human–AI knowledge gap through concept discovery and transfer in AlphaZero,"Lisa Schut, Nenad Tomasev, Thomas McGrath, Been Kim",Mar 2025,https://www.pnas.org/doi/10.1073/pnas.2406675122
Superintelligence Strategy,"Dan Hendrycks, Eric Schmidt, Alexandr Wang",Mar 2025,https://www.nationalsecurity.ai/
The MASK Benchmark: Disentangling Honesty from Accuracy in AI Systems,"Richard Ren, Arunim Agarwal, Mantas Mazeika, Cristina Menghini, Robert Vacareanu, Brad Kenstler, Mick Yang, Isabelle Barrass, Alice Gatti, Xuwang Yin, Eduardo Trevino, Matias Geralnik, Adam Khoja, Dean Lee, Summer Yue, Dan Hendrycks",Mar 2025,https://www.mask-benchmark.ai/
Will the Need to Retrain AI Models from Scratch Block a Software Intelligence Explosion?,Tom Davidson,Mar 2025,https://www.forethought.org/research/will-the-need-to-retrain-ai-models
Will AI R&D Automation Cause a Software Intelligence Explosion?,"Daniel Eth, Tom Davidson",Mar 2025,https://www.forethought.org/research/will-ai-r-and-d-automation-cause-a-software-intelligence-explosion
Preparing for the Intelligence Explosion,"Fin Moorhouse, Will MacAskill",Mar 2025,https://www.forethought.org/research/preparing-for-the-intelligence-explosion
Intelsat as a Model for International AGI Governance,"Will MacAskill, Rose Hadshar",Mar 2025,https://www.forethought.org/research/intelsat-as-a-model-for-international-agi-governance
AI Tools for Existential Security,"Lizka Vaintrob, Owen Cotton-Barratt",Mar 2025,https://www.forethought.org/research/ai-tools-for-existential-security
Circuit Tracing: Revealing Computational Graphs in Language Models,"Emmanuel Ameisen, Jack Lindsey, Adam Pearce, Wes Gurnee, Nicholas L. Turner, Brian Chen, Craig Citro, David Abrahams, Shan Carter, Basil Hosmer, Jonathan Marcus, Michael Sklar, Adly Templeton, Trenton Bricken, Callum McDougall, Hoagy Cunningham, Thomas Henighan, Adam Jermyn, Andy Jones, Andrew Persic, Zhenyi Qi, T. Ben Thompson, Sam Zimmerman, Kelley Rivoire, Thomas Conerly, Chris Olah, Joshua Batson",Mar 2025,https://transformer-circuits.pub/2025/attribution-graphs/methods.html
On the Biology of a Large Language Model,"Jack Lindsey, Wes Gurnee, Emmanuel Ameisen, Brian Chen, Adam Pearce, Nicholas L. Turner, Craig Citro, David Abrahams, Shan Carter, Basil Hosmer, Jonathan Marcus, Michael Sklar, Adly Templeton, Trenton Bricken, Callum McDougall◊, Hoagy Cunningham, Thomas Henighan, Adam Jermyn, Andy Jones, Andrew Persic, Zhenyi Qi, T. Ben Thompson, Sam Zimmerman, Kelley Rivoire, Thomas Conerly, Chris Olah, Joshua Batson",Mar 2025,https://transformer-circuits.pub/2025/attribution-graphs/biology.html
Could Advanced AI Accelerate the Pace of AI Progress? Interviews with AI Researchers,"Jared Leibowich, Nikola Jurkovic, Tom Davidson",Mar 2025,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5115692
Too Late to Recall: The Two-Hop Problem in Multimodal Knowledge Retrieval,"Constantin Venhoff, Ashkan Khakzar, Sonia Joseph, Philip Torr, Neel Nanda",Mar 2025,https://openreview.net/forum?id=VUhRdZp8ke
CTRL-Rec: Controlling Recommender Systems With Natural Language,"Micah Carroll, Adeline Foote, Marcus Williams, Anca Dragan, W. Bradley Knox, Smitha Milli",Mar 2025,https://openreview.net/forum?id=tXl1gdoAoV
Understanding (Un)Reliability of Steering Vectors in Language Models,"Joschka Braun, Carsten Eickhoff, David Krueger, Seyed Ali Bahrainian, Dmitrii Krasheninnikov",Mar 2025,https://openreview.net/forum?id=JZiKuvIK1t
Diagnostic Uncertainty: Teaching Language Models to Describe Open-Ended Uncertainty,"Brian Sui, Jessy Lin, Michelle Li, Anca Dragan, Dan Klein, Jacob Steinhardt",Mar 2025,https://openreview.net/forum?id=D8oTSUnEfb
HCAST: Human-Calibrated Autonomy Software Tasks,"David Rein, Joel Becker, Amy Deng, Seraphina Nix, Chris Canal, Daniel O’Connell, Pip Arnott, Ryan Bloom, Thomas Broadley, Katharyn Garcia, Brian Goodrich, Max Hasin, Sami Jawhar, Megan Kinniment, Thomas Kwa, Aron Lajko, Nate Rush, Lucas Jun Koba Sato, Sydney Von Arx, Ben West, Lawrence Chan, Elizabeth Barnes",Mar 2025,https://metr.org/hcast.pdf
SPHERE: An Evaluation Card for Human-AI Systems,"Qianou Ma, Dora Zhao, Xinran Zhao, Chenglei Si, Chenyang Yang, Ryan Louie, Ehud Reiter, Diyi Yang, Tongshuang Wu",Mar 2025,https://arxiv.org/abs/2504.07971
Identifying Sparsely Active Circuits Through Local Loss Landscape Decomposition,"Brianna Chrisman, Lucius Bushnaq, Lee Sharkey",Mar 2025,https://arxiv.org/abs/2504.00194
Large Language Models Pass the Turing Test,"Cameron R. Jones, Benjamin K. Bergen",Mar 2025,https://arxiv.org/abs/2503.23674
Overtrained Language Models Are Harder to Fine-Tune,"Jacob Mitchell Springer, Sachin Goyal, Kaiyue Wen, Tanishq Kumar, Xiang Yue, Sadhika Malladi, Graham Neubig, Aditi Raghunathan",Mar 2025,https://arxiv.org/abs/2503.19206
International Agreements on AI Safety: Review and Recommendations for a Conditional AI Safety Treaty,"Rebecca Scholefield, Samuel Martin, Otto Barten",Mar 2025,https://arxiv.org/abs/2503.18956
I Have Covered All the Bases Here: Interpreting Reasoning Features in Large Language Models via Sparse Autoencoders,"Andrey Galichin, Alexey Dontsov, Polina Druzhinina, Anton Razzhigaev, Oleg Y. Rogov, Elena Tutubalina, Ivan Oseledets",Mar 2025,https://arxiv.org/abs/2503.18878
Defeating Prompt Injections by Design,"Edoardo Debenedetti, Ilia Shumailov, Tianqi Fan, Jamie Hayes, Nicholas Carlini, Daniel Fabian, Christoph Kern, Chongyang Shi, Andreas Terzis, Florian Tramèr",Mar 2025,https://arxiv.org/abs/2503.18813
Learning Multi-Level Features with Matryoshka Sparse Autoencoders,"Bart Bussmann, Noa Nabeshima, Adam Karvonen, Neel Nanda",Mar 2025,https://arxiv.org/abs/2503.17547
Language Models May Verbatim Complete Text They Were Not Explicitly Trained On,"Ken Ziyu Liu, Christopher A. Choquette-Choo, Matthew Jagielski, Peter Kairouz, Sanmi Koyejo, Percy Liang, Nicolas Papernot",Mar 2025,https://arxiv.org/abs/2503.17514
AI Companies Should Report Pre- and Post-Mitigation Safety Evaluations,"Dillon Bowen, Ann-Kathrin Dombrowski, Adam Gleave, Chris Cundy",Mar 2025,https://arxiv.org/abs/2503.17388
