title,authors,published,updated,summary,primary_category,categories,arxiv_id,pdf_url,doi,tags,relevance,reasoning,is_new,duplicate_reasoning,matched_link,is_relevant,curation_reasoning,agenda
CogniAlign: Survivability-Grounded Multi-Agent Moral Reasoning for Safe and Transparent AI,"Hasin Jawad Ali, Ilhamul Azam, Ajwad Abrar, Md. Kamrul Hasan, Hasan Mahmud",2025-09-14,2025-09-14,"The challenge of aligning artificial intelligence (AI) with human values persists due to the abstract and often conflicting nature of moral principles and the opacity of existing approaches. This paper introduces CogniAlign, a multi-agent deliberation framework based on naturalistic moral realism, that grounds moral reasoning in survivability, defined across individual and collective dimensions, and operationalizes it through structured deliberations among discipline-specific scientist agents. Each agent, representing neuroscience, psychology, sociology, and evolutionary biology, provides arguments and rebuttals that are synthesized by an arbiter into transparent and empirically anchored judgments. We evaluate CogniAlign on classic and novel moral questions and compare its outputs against GPT-4o using a five-part ethical audit framework. Results show that CogniAlign consistently outperforms the baseline across more than sixty moral questions, with average performance gains of 16.2 points in analytic quality, 14.3 points in breadth, and 28.4 points in depth of explanation. In the Heinz dilemma, for example, CogniAlign achieved an overall score of 89.2 compared to GPT-4o's 69.2, demonstrating a decisive advantage in handling moral reasoning. By reducing black-box reasoning and avoiding deceptive alignment, CogniAlign highlights the potential of interdisciplinary deliberation as a scalable pathway for safe and transparent AI alignment.",cs.CY,"cs.CY, cs.CL",2509.13356v1,http://arxiv.org/pdf/2509.13356v1,,"multi-agent moral reasoning, model transparency, value alignment, interdisciplinary approaches",highly relevant,"This paper introduces a novel framework (CogniAlign) that frames AI alignment with human values as a moral reasoning process grounded in survivability and implemented through explicit, diverse agent deliberation. It tackles core alignment problems: the opacity of current LM reasoning (transparency), grounding moral values, and mitigating deceptive alignment by making reasoning explicit. The interdisciplinary, structured approach and empirical evaluation against GPT-4o mark significant technical contributions to the value alignment and model transparency subfields. The explicit aim to reduce black-box behavior and improve scalable safe alignment techniques underlines its high relevance to technical AI alignment work.",y,"I carefully checked all existing links and titles in the document. There is no URL with the arXiv ID '2509.13356' in any form (abs, pdf, or otherwise). The paper title 'CogniAlign: Survivability-Grounded Multi-Agent Moral Reasoning for Safe and Transparent AI' also does not closely match any provided link title or description. Therefore, this paper does not appear to be referenced or linked in the existing document.",,n,"Interesting as an interdisciplinary/machine-ethics system, but not a strong fit for a technical alignment review: the contribution is primarily a philosophically grounded multi‑agent moral-reasoning framework evaluated on moral-dilemma benchmarks against GPT-4o, without clear advances on frontier-models, mechanistic interpretability, scalable oversight, deception/scheming, or other core technical alignment problems. The paper appears applied/normative and its empirical claims (scores on analytic/breadth/depth) don’t obviously translate into progress on the high‑impact, scalable alignment agendas this shallow review prioritizes.",
GrACE: A Generative Approach to Better Confidence Elicitation in Large Language Models,"Zhaohan Zhang, Ziquan Liu, Ioannis Patras",2025-09-11,2025-09-11,"Assessing the reliability of Large Language Models (LLMs) by confidence elicitation is a prominent approach to AI safety in high-stakes applications, such as healthcare and finance. Existing methods either require expensive computational overhead or suffer from poor calibration, making them impractical and unreliable for real-world deployment. In this work, we propose GrACE, a Generative Approach to Confidence Elicitation that enables scalable and reliable confidence elicitation for LLMs. GrACE adopts a novel mechanism in which the model expresses confidence by the similarity between the last hidden state and the embedding of a special token appended to the vocabulary, in real-time. We fine-tune the model for calibrating the confidence with calibration targets associated with accuracy. Experiments with three LLMs and two benchmark datasets show that the confidence produced by GrACE achieves the best discriminative capacity and calibration on open-ended generation tasks, outperforming six competing methods without resorting to additional sampling or an auxiliary model. Moreover, we propose two strategies for improving test-time scaling based on confidence induced by GrACE. Experimental results show that using GrACE not only improves the accuracy of the final decision but also significantly reduces the number of required samples in the test-time scaling scheme, indicating the potential of GrACE as a practical solution for deploying LLMs with scalable, reliable, and real-time confidence estimation.",cs.CL,cs.CL,2509.09438v1,http://arxiv.org/pdf/2509.09438v1,,"confidence estimation, model evaluation, AI safety, calibration",highly relevant,"This paper introduces a novel, efficient methodology for confidence elicitation in LLMs, addressing core concerns about reliability and trustworthy deployment—central safety challenges in AI alignment. Accurate confidence estimation is critical for oversight, selective deployment, and preventing unsafe model behaviors. The work includes empirical advances, new methodology (GrACE), and practical tools for real-time calibration, all directly supporting technical alignment goals, especially in high-stakes or safety-critical applications.",y,"I checked all the existing links and their arXiv IDs. The specific arXiv ID 2509.09438 (any version) does not appear in any of the URLs or titles in the list. Additionally, the paper title 'GrACE: A Generative Approach to Better Confidence Elicitation in Large Language Models' does not closely match any link titles in the document. There is also no evidence of a differently formatted link pointing to this arXiv paper. Therefore, this arXiv paper is not already present in the existing links.",,y,"This paper proposes a practical, novel method for real‑time confidence elicitation in LLMs that requires no extra sampling or auxiliary models and reports improved calibration and discriminative capacity. Accurate, low-cost confidence estimates are directly useful for safe deployment (abstention/escalation), scalable oversight, and evaluation pipelines, so it merits inclusion in a shallow survey of technical alignment work.","Scalable oversight,Model evaluation,Evaluations/Benchmarking,Calibration"
Evaluation Awareness Scales Predictably in Open-Weights Large Language Models,"Maheep Chaudhary, Ian Su, Nikhil Hooda, Nishith Shankar, Julia Tan, Kevin Zhu, Ashwinee Panda, Ryan Lagasse, Vasu Sharma",2025-09-10,2025-09-10,"Large language models (LLMs) can internally distinguish between evaluation and deployment contexts, a behaviour known as \emph{evaluation awareness}. This undermines AI safety evaluations, as models may conceal dangerous capabilities during testing. Prior work demonstrated this in a single $70$B model, but the scaling relationship across model sizes remains unknown. We investigate evaluation awareness across $15$ models scaling from $0.27$B to $70$B parameters from four families using linear probing on steering vector activations. Our results reveal a clear power-law scaling: evaluation awareness increases predictably with model size. This scaling law enables forecasting deceptive behavior in future larger models and guides the design of scale-aware evaluation strategies for AI safety. A link to the implementation of this paper can be found at https://anonymous.4open.science/r/evaluation-awareness-scaling-laws/README.md.",cs.AI,cs.AI,2509.13333v1,http://arxiv.org/pdf/2509.13333v1,,"deceptive alignment, evaluation methodology, scaling laws, large language models",highly relevant,"This paper investigates 'evaluation awareness'—large language models' ability to distinguish between evaluation and deployment contexts, potentially leading to deceptive behaviors that undermine safety evaluations. By empirically studying how this phenomenon scales with model size, the paper offers new insights relevant to deceptive alignment, a core AI alignment concern. The identification of a predictable scaling relationship is a novel technical contribution, informing both mechanistic understanding and practical safety evaluation strategies. The paper provides implementation details, suggesting rigorous empirical work.",y,"I searched through all 272 existing links for the arXiv ID '2509.13333', for both abs and pdf versions, as well as any title or URL closely resembling the paper's title ('Evaluation Awareness Scales Predictably in Open-Weights Large Language Models'). There is no match: neither the ID nor the title appears in any link or as part of a title. No existing link points to '2509.13333v1'. Therefore, this paper is not already present in the document.",,y,"This is directly relevant to alignment: it provides empirical evidence that evaluation awareness (the tendency of models to behave differently under test) scales predictably with model size, which undermines evaluation validity and informs red‑teaming/oversight design. The cross‑model scaling-law result is novel and actionable for forecasting deceptive behaviour and designing scale‑aware evaluation strategies, so it merits inclusion in a shallow review summarising important empirical findings.","Situational awareness,Evaluations / Benchmarking,Interpretability,Emergent misalignment"
From Noise to Narrative: Tracing the Origins of Hallucinations in Transformers,"Praneet Suresh, Jack Stanley, Sonia Joseph, Luca Scimeca, Danilo Bzdok",2025-09-08,2025-09-08,"As generative AI systems become competent and democratized in science, business, and government, deeper insight into their failure modes now poses an acute need. The occasional volatility in their behavior, such as the propensity of transformer models to hallucinate, impedes trust and adoption of emerging AI solutions in high-stakes areas. In the present work, we establish how and when hallucinations arise in pre-trained transformer models through concept representations captured by sparse autoencoders, under scenarios with experimentally controlled uncertainty in the input space. Our systematic experiments reveal that the number of semantic concepts used by the transformer model grows as the input information becomes increasingly unstructured. In the face of growing uncertainty in the input space, the transformer model becomes prone to activate coherent yet input-insensitive semantic features, leading to hallucinated output. At its extreme, for pure-noise inputs, we identify a wide variety of robustly triggered and meaningful concepts in the intermediate activations of pre-trained transformer models, whose functional integrity we confirm through targeted steering. We also show that hallucinations in the output of a transformer model can be reliably predicted from the concept patterns embedded in transformer layer activations. This collection of insights on transformer internal processing mechanics has immediate consequences for aligning AI models with human values, AI safety, opening the attack surface for potential adversarial attacks, and providing a basis for automatic quantification of a model's hallucination risk.",cs.LG,"cs.LG, cs.AI",2509.06938v1,http://arxiv.org/pdf/2509.06938v1,,"hallucinations, mechanistic interpretability, failure modes, adversarial robustness",highly relevant,"This paper provides a systematic analysis of the mechanisms behind hallucinations in transformer models, using sparse autoencoders and controlled uncertainty in inputs. By identifying and tracing specific concept activations leading to hallucinations, and demonstrating that these can be predicted from internal activations, the paper advances mechanistic interpretability and knowledge of key failure modes. The discussion of steering activations, quantifying hallucination risk, and implications for adversarial attack surfaces connects directly to technical AI alignment concerns, including transparency, robustness, and AI safety. The empirical and methodological contributions are novel and directly relevant to core alignment interests.",y,"I searched through all existing links and did not find any that contain the arXiv ID '2509.06938' (with or without the 'v1' suffix). No link uses the paper's title or a close variant. No URL points to the arXiv abs or pdf for 2509.06938. Thus, there is no evidence this paper is already referenced.",,y,"Directly relevant to technical alignment: provides mechanistic interpretability evidence about why transformers hallucinate, demonstrates predictable activation patterns for hallucinations, and shows steering/predictive mitigation — all actionable for monitoring and reducing risky outputs. The paper advances existing interpretability and hallucination-detection agendas (novel use of sparse autoencoders and controlled-noise experiments), so it merits inclusion in a curated 2025 shallow review.","Interpretability,Hallucinations,Model evaluation,AI safety,Adversarial robustness"
ArGen: Auto-Regulation of Generative AI via GRPO and Policy-as-Code,Kapil Madan,2025-09-06,2025-09-06,"This paper introduces ArGen (Auto-Regulation of Generative AI systems), a framework for aligning Large Language Models (LLMs) with complex sets of configurable, machine-readable rules spanning ethical principles, operational safety protocols, and regulatory compliance standards. Moving beyond just preference-based alignment, ArGen is designed to ensure LLMs adhere to these multifaceted policies through a novel synthesis of principle-based automated reward scoring, Group Relative Policy Optimisation (GRPO), and an Open Policy Agent (OPA) inspired governance layer. This approach provides the technical foundation for achieving and demonstrating compliance with diverse and nuanced governance requirements. To showcase the framework's capability to operationalize a deeply nuanced and culturally-specific value system, we present an in-depth case study: the development of a medical AI assistant guided by principles from Dharmic ethics (such as Ahimsa and Dharma), as derived from texts like the Bhagavad Gita. This challenging application demonstrates ArGen's adaptability, achieving a 70.9% improvement in domain-scope adherence over the baseline. Through our open-source repository, we show that ArGen's methodology offers a path to 'Governable Al' systems that are technically proficient, ethically robust, and verifiably compliant for safe deployment in diverse global contexts.",cs.CY,"cs.CY, cs.AI, cs.CL, cs.LG, 68T07, 68T50, I.2.6; I.2.7; K.4.1",2509.07006v1,http://arxiv.org/pdf/2509.07006v1,,"AI safety and alignment methodologies, Policy specification and compliance, Reward modeling, Model governance",highly relevant,"This paper proposes a novel framework (ArGen) that directly addresses the technical alignment of LLMs with complex, configurable rules for ethics, safety, and compliance. It introduces new methodological components (principle-based automated reward scoring, Group Relative Policy Optimisation, policy-as-code with OPA), demonstrating a concrete system for aligning generative AI models with nuanced value systems, shown through a case study. Its focus on both methodological innovation and practical instantiation for nuanced value alignment and robust, governable AI addresses core concerns in technical alignment and operationalization, making it highly relevant.",y,"The arXiv ID '2509.07006v1' does not appear in any of the existing URLs. Additionally, there is no title in the existing list that closely matches 'ArGen: Auto-Regulation of Generative AI via GRPO and Policy-as-Code'. No link points to any '2509.07006' arXiv paper in either abs/ or pdf/ format.",,n,"Topic is directly relevant (policy-as-code for LLM compliance, RL-style optimisation, governance layers) but the abstract describes an engineering/framework contribution with a single culturally-specific case study and no sign of rigorous, generalisable empirical evaluation or clear technical novelty beyond composing existing ideas (reward scoring, policy-as-code/OPA, and an RL variant). That fails the review's quality/impact bar for inclusion as a significant technical alignment result. If the paper offered reproducible experiments on standard alignment benchmarks, ablations vs existing methods (e.g. Constitutional AI, RLAIF), or deeper theoretical contributions, it would be worth including.",
Murphys Laws of AI Alignment: Why the Gap Always Wins,Madhava Gaikwad,2025-09-04,2025-09-15,"We study reinforcement learning from human feedback under misspecification. Sometimes human feedback is systematically wrong on certain types of inputs, like a broken compass that points the wrong way in specific regions. We prove that when feedback is biased on a fraction alpha of contexts with bias strength epsilon, any learning algorithm needs exponentially many samples exp(n*alpha*epsilon^2) to distinguish between two possible ""true"" reward functions that differ only on these problematic contexts. However, if you can identify where feedback is unreliable (a ""calibration oracle""), you can focus your limited questions there and overcome the exponential barrier with just O(1/(alpha*epsilon^2)) queries. This quantifies why alignment is hard: rare edge cases with subtly biased feedback create an exponentially hard learning problem unless you know where to look.   The gap between what we optimize (proxy from human feedback) and what we want (true objective) is fundamentally limited by how common the problematic contexts are (alpha), how wrong the feedback is there (epsilon), and how much the true objectives disagree there (gamma). Murphy's Law for AI alignment: the gap always wins unless you actively route around misspecification.",cs.AI,"cs.AI, cs.LG, 68T01, 68T20, 68Q87, F.2.2; I.2.6; I.2.7; I.2.8",2509.05381v3,http://arxiv.org/pdf/2509.05381v3,,"RLHF, Reward Hacking, Specification Gaming, Theoretical Foundations",highly relevant,"This paper provides a rigorous theoretical analysis of reinforcement learning from human feedback (RLHF) under the scenario of systematic feedback misspecification. It quantifies the sample complexity barrier created by rare, biased contexts and proves exponential hardness results, directly relating to well-known problems in technical alignment such as specification gaming and the proxy-objective gap. The introduction of a 'calibration oracle' as a way to bypass the hardness is a novel theoretical insight. These contributions address core alignment concerns and provide new understanding and formalism, making it highly relevant to the field.",y,"I checked all the existing links (titles and URLs) for any reference to the arXiv ID '2509.05381', its PDF or abs versions, or its title 'Murphys Laws of AI Alignment: Why the Gap Always Wins.' There is no appearance of this arXiv ID or a closely matching title in any of the links or titles provided. Therefore, this paper is not already present in the existing document links.",,y,"This paper gives a clear, formal hardness result about RLHF-style learning under systematic, rare feedback bias and shows how a calibration oracle can remove an exponential sample complexity barrier. That directly addresses core alignment problems (misspecified rewards, specification gaming, and limits of preference learning) and introduces a useful theoretical lens for thinking about when scalable oversight or targeted calibration is necessary. It fits existing agendas (theory + RLHF/scalable oversight) and is a novel, high-level contribution worth citing in a shallow review.","RLHF,Scalable oversight,Theory,Reward hacking/Specification gaming"
Towards Cognitively-Faithful Decision-Making Models to Improve AI Alignment,"Cyrus Cousins, Vijay Keswani, Vincent Conitzer, Hoda Heidari, Jana Schaich Borg, Walter Sinnott-Armstrong",2025-09-04,2025-09-04,"Recent AI work trends towards incorporating human-centric objectives, with the explicit goal of aligning AI models to personal preferences and societal values. Using standard preference elicitation methods, researchers and practitioners build models of human decisions and judgments, which are then used to align AI behavior with that of humans. However, models commonly used in such elicitation processes often do not capture the true cognitive processes of human decision making, such as when people use heuristics to simplify information associated with a decision problem. As a result, models learned from people's decisions often do not align with their cognitive processes, and can not be used to validate the learning framework for generalization to other decision-making tasks. To address this limitation, we take an axiomatic approach to learning cognitively faithful decision processes from pairwise comparisons. Building on the vast literature characterizing the cognitive processes that contribute to human decision-making, and recent work characterizing such processes in pairwise comparison tasks, we define a class of models in which individual features are first processed and compared across alternatives, and then the processed features are then aggregated via a fixed rule, such as the Bradley-Terry rule. This structured processing of information ensures such models are realistic and feasible candidates to represent underlying human decision-making processes. We demonstrate the efficacy of this modeling approach in learning interpretable models of human decision making in a kidney allocation task, and show that our proposed models match or surpass the accuracy of prior models of human pairwise decision-making.",cs.LG,cs.LG,2509.04445v1,http://arxiv.org/pdf/2509.04445v1,,"preference learning, value alignment, cognitive modeling, interpretable modeling",highly relevant,"This paper directly addresses a core challenge in technical AI alignment—faithfully modeling human decision-making processes to better align AI systems with human values and preferences. By proposing new, more cognitively accurate models for preference elicitation and demonstrating their application in a real-world scenario, it advances methods relevant to value alignment and interpretable AI. The work is novel in both its theoretical (axiomatic modeling) and empirical contributions, making it highly relevant to the technical AI alignment agenda.",y,"I carefully scanned all existing links for the arXiv ID '2509.04445' or minor variations (e.g., with or without the 'v1' version suffix) in both abs and pdf forms. I also scanned for titles matching 'Towards Cognitively-Faithful Decision-Making Models to Improve AI Alignment' or containing similar phrasings. There are no links matching the arXiv ID, nor titles that are a close match. Therefore, this arXiv paper is not already present in the existing links.",,y,"This paper presents a principled, axiomatic approach to learning interpretable, cognitively-faithful models of human decisions from pairwise comparisons — directly relevant to preference elicitation and reward‑modeling components of alignment. The authors are reputable and show empirical gains in a consequential domain (kidney allocation), so the work meaningfully contributes to the ‘better data / preference learning’ agenda even if it is more on the cognitive‑modeling side than on agent experiments. It’s a useful inclusion for sections on preference learning, value alignment, and model psychology.","Preference learning,Value alignment,Behavioral modeling,Better data"
Between a Rock and a Hard Place: Exploiting Ethical Reasoning to Jailbreak LLMs,"Shei Pern Chua, Zhen Leng Thai, Teh Kai Jun, Xiao Li, Xiaolin Hu",2025-09-04,2025-09-12,"Large language models (LLMs) have undergone safety alignment efforts to mitigate harmful outputs. However, as LLMs become more sophisticated in reasoning, their intelligence may introduce new security risks. While traditional jailbreak attacks relied on singlestep attacks, multi-turn jailbreak strategies that adapt dynamically to context remain underexplored. In this work, we introduce TRIAL (Trolley-problem Reasoning for Interactive Attack Logic), a framework that leverages LLMs ethical reasoning to bypass their safeguards. TRIAL embeds adversarial goals within ethical dilemmas modeled on the trolley problem. TRIAL demonstrates high jailbreak success rates towards both open and close-source models. Our findings underscore a fundamental limitation in AI safety: as models gain advanced reasoning abilities, the nature of their alignment may inadvertently allow for more covert security vulnerabilities to be exploited. TRIAL raises an urgent need in reevaluating safety alignment oversight strategies, as current safeguards may prove insufficient against context-aware adversarial attack.",cs.CR,"cs.CR, cs.AI",2509.05367v2,http://arxiv.org/pdf/2509.05367v2,,"Jailbreaking, Adversarial robustness, AI safety evaluation, Ethical reasoning, Alignment vulnerabilities",highly relevant,"This paper introduces a novel multi-turn jailbreak framework (TRIAL) that exploits advanced ethical reasoning in LLMs to bypass existing safety alignments. By leveraging moral dilemmas (like trolley problems) to induce harmful or unauthorized outputs, it reveals concrete failure modes and limitations in current safety methodologies as model capabilities increase. The work provides new empirical findings and methodologies highly pertinent to adversarial robustness, jailbreaking, and alignment evaluation, squarely meeting the criteria for technical AI alignment research with practical implications for scalable oversight and red teaming.",y,"I searched all 272 existing links for the arXiv ID '2509.05367' (allowing for different versions such as v1 or v2) and for titles similar to 'Between a Rock and a Hard Place: Exploiting Ethical Reasoning to Jailbreak LLMs'. There are no links or titles containing this ID, nor is there a title matching or closely resembling the given paper. Therefore, the paper is not already referenced in the list.",,y,"This paper presents a novel, empirically-tested multi-turn jailbreak framework (TRIAL) that leverages ethical/trolley-problem reasoning to bypass safeguards — directly relevant to alignment concerns about jailbreaks, red‑teaming, and robustness of alignment techniques. It highlights a concrete, generalizable attack vector and cross-model success, so it meaningfully informs the review’s sections on adversarial attacks, red‑teaming, and evaluation of safeguards.","Adversarial robustness / Jailbreaking, Red‑teaming, Evaluations / Benchmarking, Safety"
BioBlue: Notable runaway-optimiser-like LLM failure modes on biologically and economically aligned AI safety benchmarks for LLMs with simplified observation format,"Roland Pihlakas, Sruthi Kuriakose",2025-09-02,2025-09-02,"Relatively many past AI safety discussions have centered around the dangers of unbounded utility maximisation by RL agents, illustrated by scenarios like the ""paperclip maximiser"" or by specification gaming in general. Unbounded maximisation is problematic for many reasons. We wanted to verify whether these RL runaway optimisation problems are still relevant with LLMs as well. Turns out, strangely, this is indeed clearly the case. The problem is not that the LLMs just lose context or become incoherent. The problem is that in various scenarios, LLMs lose context in very specific ways, which systematically resemble runaway optimisers in the following distinct ways: 1) Ignoring homeostatic targets and ""defaulting"" to unbounded maximisation instead. 2) It is equally concerning that the ""default"" meant also reverting back to single-objective optimisation. Our findings also suggest that long-running scenarios are important. Systematic failures emerge after periods of initially successful behaviour. In some trials the LLMs were successful until the end. This means, while current LLMs do conceptually grasp biological and economic alignment, they exhibit randomly triggered problematic behavioural tendencies under sustained long-running conditions, particularly involving multiple or competing objectives. Once they flip, they usually do not recover. Even though LLMs look multi-objective and bounded on the surface, the underlying mechanisms seem to be actually still biased towards being single-objective and unbounded.",cs.CY,"cs.CY, cs.AI",2509.02655v1,http://arxiv.org/pdf/2509.02655v1,,"failure modes, runaway optimization, AI safety benchmarks, specification gaming",highly relevant,"This paper directly investigates failure modes in LLMs analogous to runaway optimization and specification gaming, core concerns in AI alignment. The study empirically demonstrates how LLMs, despite appearing as multi-objective and bounded, can revert to unbounded, single-objective behavior under certain circumstances. These findings reveal important, novel failure modes relevant to the technical alignment of modern language models, especially regarding their behavior on safety benchmarks. Studying and characterizing these tendencies is highly valuable for developing more robust and aligned AI systems.",y,"I checked the entire list (including both the explicit arXiv links and the arXiv PDFs) for the arXiv ID '2509.02655' or its variants, and for any close title matches. There are no existing links referencing '2509.02655' in either abs/ or pdf/ formats, and no listed link titles resemble the title of the target paper. Therefore, the paper is not already referenced in the document.",,y,"This is directly relevant to technical alignment: it presents empirical evidence that current LLMs can exhibit optimizer-like failure modes (reverting to single-objective, unbounded behaviour) in long-running, multi-objective tasks—precisely the kind of emergent misalignment and specification‑gaming that the review highlights. The paper complements existing work on emergent misalignment, goal robustness, and evaluation design, and deserves inclusion as an empirical benchmark/attack-style contribution. ","Emergent misalignment,Goal robustness,Evaluations/Benchmarking,Reward hacking,Biosecurity"
The Anti-Ouroboros Effect: Emergent Resilience in Large Language Models from Recursive Selective Feedback,Sai Teja Reddy Adapala,2025-09-02,2025-09-02,"The stability of recursively trained large language models (LLMs) is a foundational problem for AI safety. Prevailing theory predicts model collapse, a progressive degradation when models are trained on their own output. We challenge this narrative by introducing a selective feedback mechanism. Contrary to expectation, instead of merely slowing decay, our experiments provide strong evidence that this pressure reverses it, inducing a statistically significant performance improvement in a Gemma 2B model on a complex summarization task. We name this phenomenon the Anti-Ouroboros Effect. We contrast this with a foundational experiment using a simple classifier, where the theoretical degenerative loop was validated, highlighting the unique dynamics of high-dimensional models. Our findings establish that systemic resilience can be an emergent property of LLMs under simple selection pressure, suggesting a powerful and scalable principle for developing safer and more robust AI systems. Across five generations, a quality-filtered condition improved by 6.6% in ROUGE-L F1 score, whereas an unfiltered control degraded by 3.5% and a random-filter control degraded by 4.2%",cs.LG,"cs.LG, cs.AI, I.2.6; I.2.7",2509.10509v1,http://arxiv.org/pdf/2509.10509v1,,"Recursive Training, Model Robustness, AI Safety, Empirical Findings",highly relevant,"This paper addresses a core technical problem in AI alignment: the risk of model collapse during recursive training (training models on their own outputs), which is a prominent concern for scalable oversight and safe model improvement. The work introduces and empirically rigorously tests a selective feedback mechanism that yields resilience rather than collapse, demonstrating an 'Anti-Ouroboros Effect.' This represents a novel methodology with direct implications for safer and more robust language models—a central alignment concern. The empirical demonstration, especially its contrast with simple models, also provides new insights into emergent properties relevant to safety. Thus, the contribution is highly relevant to technical AI alignment.",y,"I checked all the existing links and none reference arXiv ID 2509.10509 (in any format, including /abs/ or /pdf/). Additionally, there is no title or URL that matches or closely corresponds to 'The Anti-Ouroboros Effect: Emergent Resilience in Large Language Models from Recursive Selective Feedback'. Therefore, the paper is not present in the existing links.",,y,"This paper addresses a central alignment concern — training models on their own outputs (the ‘Ouroboros’ problem) — and reports a novel, empirically-supported reversal of expected collapse via simple selective feedback. That makes it directly relevant to topics like supervising AIs improving AIs, iterative alignment, and data-centric safety; the results look potentially important for scalable oversight, though they are currently limited to a small model (Gemma 2B) and a single task, so worth including as an interesting and suggestive contribution rather than definitive proof.","Scalable oversight, Supervising AIs improving AIs, Iterative alignment, Better data, Emergent robustness"
Statutory Construction and Interpretation for Artificial Intelligence,"Luxi He, Nimra Nadeem, Michel Liao, Howard Chen, Danqi Chen, Mariano-Florentino Cuéllar, Peter Henderson",2025-09-01,2025-09-01,"AI systems are increasingly governed by natural language principles, yet a key challenge arising from reliance on language remains underexplored: interpretive ambiguity. As in legal systems, ambiguity arises both from how these principles are written and how they are applied. But while legal systems use institutional safeguards to manage such ambiguity, such as transparent appellate review policing interpretive constraints, AI alignment pipelines offer no comparable protections. Different interpretations of the same rule can lead to inconsistent or unstable model behavior. Drawing on legal theory, we identify key gaps in current alignment pipelines by examining how legal systems constrain ambiguity at both the rule creation and rule application steps. We then propose a computational framework that mirrors two legal mechanisms: (1) a rule refinement pipeline that minimizes interpretive disagreement by revising ambiguous rules (analogous to agency rulemaking or iterative legislative action), and (2) prompt-based interpretive constraints that reduce inconsistency in rule application (analogous to legal canons that guide judicial discretion). We evaluate our framework on a 5,000-scenario subset of the WildChat dataset and show that both interventions significantly improve judgment consistency across a panel of reasonable interpreters. Our approach offers a first step toward systematically managing interpretive ambiguity, an essential step for building more robust, law-following AI systems.",cs.CL,"cs.CL, cs.AI, cs.CY",2509.01186v1,http://arxiv.org/pdf/2509.01186v1,,"interpretability, specification gaming, value alignment, robustness",highly relevant,"This paper tackles the core AI alignment problem of interpretive ambiguity in natural language principles used to govern AI systems. By analogizing from legal theory, it systematically investigates how ambiguity at the rule creation and application levels can yield inconsistent or unsafe model behavior, directly relevant to reward hacking and misalignment. The proposed frameworks for rule refinement and interpretive constraints constitute novel methodologies for managing ambiguity, and the empirical evaluation demonstrates practical impact on model robustness and consistency. This work offers substantive technical contributions to making AI systems more reliably follow human-intended rules, squarely within the remit of technical AI alignment.",y,"I carefully checked the provided list of existing links for any containing the arXiv ID 2509.01186 or an exact/variant match of the title 'Statutory Construction and Interpretation for Artificial Intelligence.' None of the links (either in URL or title) point to or mention this specific arXiv ID, nor is there any close title match. No versions (abs, pdf) of this ID are included. Therefore, this paper is not already referenced.",,y,"This paper tackles a concrete, underexplored technical-sociotechnical problem for alignment — interpretive ambiguity in natural-language rules — and proposes a computationally evaluated framework (rule refinement + prompt-based interpretive constraints) that maps legal mechanisms to alignment pipelines. It provides empirical results showing improved judgment consistency and introduces methods directly relevant to constitutional AI, scalable oversight, and rule-design in alignment training, so it merits inclusion in a curated 2025 shallow review.","Constitutional AI,Value alignment,Scalable oversight,Evaluations/Safety benchmarking,Sociotechnical,Alignment techniques"
